Day	Date	Time	Place	Title	Rating
Sat	2005/09/24	20:15	C2GA Cinema 2 General Admit	Bande a Part	18+
Sun	2005/09/25	10:30	C1GA Cinema 1 General Admit	Madagascar	G
Sun	2005/09/25	13:00	C1GA Cinema 1 General Admit	Madagascar	G
Sun	2005/09/25	13:30	C2GA Cinema 2 General Admit	Stranger Than Paradise	M
Sun	2005/09/25	15:30	C2GA Cinema 2 General Admit	Shadows	18+
Sun	2005/09/25	17:30	C2GA Cinema 2 General Admit	Ten Minutes Older: The Trumpet	18+
Mon	2005/09/26	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Mon	2005/09/26	13:30	C2GA Cinema 2 General Admit	The Goonies	PG
Mon	2005/09/26	13:30	C1GA Cinema 1 General Admit	The Weeping Camel	PG
Mon	2005/09/26	18:00	C2GA Cinema 2 General Admit	Down By Law	M
Mon	2005/09/26	20:15	C1GA Cinema 1 General Admit	Mystery Train	M
Tue	2005/09/27	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Tue	2005/09/27	13:30	C2GA Cinema 2 General Admit	The Goonies	PG
Wed	2005/09/28	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Wed	2005/09/28	13:30	C2GA Cinema 2 General Admit	The Goonies	PG
Thu	2005/09/29	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Thu	2005/09/29	13:30	C2GA Cinema 2 General Admit	The Goonies	PG
Fri	2005/09/30	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Fri	2005/09/30	13:30	C2GA Cinema 2 General Admit	The Goonies	PG
Fri	2005/09/30	22:00	C2GA Cinema 2 General Admit	Beach Party	PG
Sat	2005/10/01	11:00	C2GA Cinema 2 General Admit	The Weeping Camel	PG
Sat	2005/10/01	14:00	C2GA Cinema 2 General Admit	In Search of Anna	M
Sun	2005/10/02	10:30	C1GA Cinema 1 General Admit	KImba the White Lion	G
Sun	2005/10/02	13:00	C1GA Cinema 1 General Admit	KImba the White Lion	G
Mon	2005/10/03	13:30	C2GA Cinema 2 General Admit	The Weeping Camel	PG
Fri	2005/10/07	22:00	C1GA Cinema 1 General Admit	Pink Flamingos	R18+
Sat	2005/10/08	11:00	C2GA Cinema 2 General Admit	Kitchen Stories	PG
Sat	2005/10/08	14:00	C2GA Cinema 2 General Admit	Walking on Water	MA
Sun	2005/10/09	10:30	C2GA Cinema 2 General Admit	The Black Stallion	G
Sun	2005/10/09	13:00	C2GA Cinema 2 General Admit	The Black Stallion	G
Mon	2005/10/10	13:30	C2GA Cinema 2 General Admit	Kitchen Stories	PG
Fri	2005/10/14	22:00	C2GA Cinema 2 General Admit	Poltergeist	M
Sat	2005/10/15	11:00	C2GA Cinema 2 General Admit	Kitchen Stories	PG
Sat	2005/10/15	14:00	C2GA Cinema 2 General Admit	Ghosts... of the Civil Dead	R18+
Sun	2005/10/16	10:30	C2GA Cinema 2 General Admit	Garfield	G
Sun	2005/10/16	13:00	C2GA Cinema 2 General Admit	Garfield	G
Mon	2005/10/17	13:30	C1GA Cinema 1 General Admit	Kitchen Stories	PG
Mon	2005/10/17	18:30	C2GA Cinema 2 General Admit	Me and You and Everyone We Know	R 18+
Tue	2005/10/18	18:30	C2GA Cinema 2 General Admit	The Amateurist + Nest of Tens	18+
Tue	2005/10/18	18:30	C1GA Cinema 1 General Admit	The Amateurist + Nest of Tens	18+
Thu	2005/10/20	19:00	C2GA Cinema 2 General Admit	Changing Times	18+
Fri	2005/10/21	18:00	C1GA Cinema 1 General Admit	The Hunger	M
Fri	2005/10/21	20:00	C1GA Cinema 1 General Admit	Night Wind	18+
Fri	2005/10/21	22:00	C1GA Cinema 1 General Admit	Hard Boiled	R18+
Sat	2005/10/22	11:00	C2GA Cinema 2 General Admit	Since Otar Left	M
Sat	2005/10/22	14:00	C1GA Cinema 1 General Admit	The Back of Beyond	G
Sat	2005/10/22	17:30	C1GA Cinema 1 General Admit	The Woman with the Red Boots	M
Sat	2005/10/22	19:30	C1GA Cinema 1 General Admit	Belle de Jour	M
Sat	2005/10/22	21:30	C1GA Cinema 1 General Admit	Genealogies of a Crime	18+
Sun	2005/10/23	10:30	C2GA Cinema 2 General Admit	Charlie and the Chocolate Factory	PG
Sun	2005/10/23	13:00	C2GA Cinema 2 General Admit	Charlie and the Chocolate Factory	PG
Sun	2005/10/23	15:30	C2GA Cinema 2 General Admit	The Umbrellas of Cherbourg	PG
Sun	2005/10/23	17:30	C2GA Cinema 2 General Admit	8 Femmes	M
Mon	2005/10/24	1:30	C1GA Cinema 1 General Admit	Since Otar Left	M
Mon	2005/10/24	11:00	C1GA Cinema 1 General Admit	Since Otar Left	PG
Mon	2005/10/24	13:30	C2GA Cinema 2 General Admit	Since Otar Left	M
Mon	2005/10/24	18:00	C2GA Cinema 2 General Admit	Repulsion	M
Mon	2005/10/24	20:15	C1GA Cinema 1 General Admit	I Love You All	18+
Thu	2005/10/27	19:00	C2GA Cinema 2 General Admit	Changing Times	18+
Thu	2005/10/27	21:00	C2GA Cinema 2 General Admit	Dancer in the Dark	MA
Fri	2005/10/28	18:00	C2GA Cinema 2 General Admit	The Umbrellas of Cherbourg	PG
Fri	2005/10/28	20:00	C2GA Cinema 2 General Admit	Night Wind	18+
Fri	2005/10/28	22:00	C1GA Cinema 1 General Admit	The Last of Sheila	M
Sat	2005/10/29	11:00	C2GA Cinema 2 General Admit	Since Otar Left	M
Sat	2005/10/29	14:00	C2GA Cinema 2 General Admit	Death in Brunswick	M
Sat	2005/10/29	19:00	C2GA Cinema 2 General Admit	I Love You All	18+
Sat	2005/10/29	21:30	C2GA Cinema 2 General Admit	The Hunger	M
Sun	2005/10/30	10:30	C1GA Cinema 1 General Admit	The Witches	PG
Sun	2005/10/30	13:00	C1GA Cinema 1 General Admit	The Witches	PG
Sun	2005/10/30	15:30	C2GA Cinema 2 General Admit	Donkey Skin	G
Sun	2005/10/30	17:30	C2GA Cinema 2 General Admit	The Last Metro	PG
Mon	2005/10/31	13:30	C2GA Cinema 2 General Admit	Since Otar Left	M
Fri	2005/11/04	22:00	C1GA Cinema 1 General Admit	Straight to Hell	M
Sat	2005/11/05	10:30	C1GA Cinema 1 General Admit	The Magic Pudding	G
Sat	2005/11/05	11:00	C2GA Cinema 2 General Admit	My Fair Lady	G
Sat	2005/11/05	14:00	C1GA Cinema 1 General Admit	The Shiralee	PG
Sat	2005/11/05	16:00	C1GA Cinema 1 General Admit	The Sundowners	G
Sat	2005/11/05	22:00	C1GA Cinema 1 General Admit	The Ordeal	MA15+
Sun	2005/11/06	10:30	C2GA Cinema 2 General Admit	Racing Stripes	G
Sun	2005/11/06	13:00	C2GA Cinema 2 General Admit	Racing Stripes	G
Sun	2005/11/06	19:30	C2GA Cinema 2 General Admit	Magic Mirror	18+
Mon	2005/11/07	13:30	C2GA Cinema 2 General Admit	My Fair Lady	G
Fri	2005/11/11	22:00	C2GA Cinema 2 General Admit	Deliverance	R18+
Sat	2005/11/12	11:00	C2GA Cinema 2 General Admit	My Fair Lady	G
Sat	2005/11/12	18:45	C2GA Cinema 2 General Admit	The Adventures of Barry McKenzie	M
Sun	2005/11/13	10:30	C1GA Cinema 1 General Admit	Inspector Gadget	PG
Sun	2005/11/13	13:00	C1GA Cinema 1 General Admit	Inspector Gadget	PG
Mon	2005/11/14	13:30	C2GA Cinema 2 General Admit	My Fair Lady	G
Fri	2005/11/18	22:00	C1GA Cinema 1 General Admit	Invaders from Mars	PG
Sat	2005/11/19	11:00	C2GA Cinema 2 General Admit	The Old Man Who Read Love Stories	M
Sun	2005/11/20	10:30	C1GA Cinema 1 General Admit	The Magic Pudding	G
Sun	2005/11/20	13:00	C1GA Cinema 1 General Admit	The Magic Pudding	G
Mon	2005/11/21	13:30	C2GA Cinema 2 General Admit	The Old Man Who Read Love Stories	M
Fri	2005/11/25	22:00	C2GA Cinema 2 General Admit	A Clockwork Orange	R18+
Fri	2005/11/25	22:00	C2GA Cinema 2 General Admit	A Clockwork Orange	R18+
Sat	2005/11/26	11:00	C1GA Cinema 1 General Admit	The Old Man Who Read Love Stories	M
Sat	2005/11/26	11:00	C2GA Cinema 2 General Admit	The Old Man Who Read Love Stories	M
Sat	2005/11/26	14:00	C1GA Cinema 1 General Admit	Man of Flowers	M
